Scenario 2: High-pressure|22
T1,Attend Divide-and-Conquer Lecture,Lecture,3,8,5,4
T2,Complete Greedy and DP Tutorial,Tutorial,4,9,4,5
T3,Practice Algorithm Midterm Questions,Practice,4,9,3,5
T4,Finish StudySmart AI Algorithm Module,Assignment,4,8,5,4
T5,Review ERD and Normalization Concepts,Revision,3,8,6,4
T6,Complete SQL Access Control Lab,Practice,3,7,4,4
T7,Finish Database Project Report Section,Assignment,4,8,5,4
T8,Attend Database Group Project Meeting,Assignment,2,6,6,3
T9,Attend C++ File Handling Lecture,Lecture,3,7,7,4
T10,Debug C++ Menu and Input Handling,Practice,4,8,5,4
T11,Complete C++ Pointer and Vector Exercises,Tutorial,3,7,6,4
T12,Revise Software Engineering Design Principles,Revision,3,8,7,4
T13,Practice Use Case and Class Diagram Questions,Practice,4,8,4,5
T14,Complete FYP Thesis Submission Draft,Assignment,5,10,6,5
T15,Prepare FYP Presentation and Supervisor Meeting,Assignment,4,9,5,5
