Scenario 4: Importance-focused|26
T1,Attend Divide-and-Conquer Lecture,Lecture,3,4,6,3
T2,Complete Greedy and DP Tutorial,Tutorial,2,5,5,3
T3,Practice Algorithm Midterm Questions,Practice,3,10,5,4
T4,Finish StudySmart AI Algorithm Module,Assignment,3,6,7,3
T5,Review ERD and Normalization Concepts,Revision,2,4,6,3
T6,Complete SQL Access Control Lab,Practice,2,5,8,3
T7,Finish Database Project Report Section,Assignment,3,3,7,3
T8,Attend Database Group Project Meeting,Assignment,2,4,8,2
T9,Attend C++ File Handling Lecture,Lecture,2,5,9,3
T10,Debug C++ Menu and Input Handling,Practice,3,6,6,3
T11,Complete C++ Pointer and Vector Exercises,Tutorial,2,4,7,3
T12,Revise Software Engineering Design Principles,Revision,3,5,9,3
T13,Practice Use Case and Class Diagram Questions,Practice,3,10,5,4
T14,Complete FYP Thesis Submission Draft,Assignment,5,10,6,5
T15,Prepare FYP Presentation and Supervisor Meeting,Assignment,3,9,7,4
